year,company,brand,revenue_eur_millions,dtc_share_pct,operating_margin_pct,source
2021,Kering,Gucci,9731,91,38.2,Kering 2021 Results Press Release
2022,Kering,Gucci,10487,91,35.6,Kering 2022 Results Press Release
2023,Kering,Gucci,9872,91,33.1,Kering 2023 Results Press Release
2024,Kering,Gucci,7650,91,,Kering 2024 Results Press Release
2022,Kering,Yves Saint Laurent,3300,,,Kering 2022 Results Press Release
2023,Kering,Yves Saint Laurent,3180,,30,Kering 2023 Results Press Release
2024,Kering,Yves Saint Laurent,2900,,20.6,Kering 2024 Results Press Release
2021,Kering,Bottega Veneta,1500,,,Kering 2021 Results Press Release
2023,Kering,Bottega Veneta,1645,,,Kering 2023 Results Press Release
2024,Kering,Bottega Veneta,1717,,14.9,Kering 2024 Results Press Release
2022,Richemont,Jewellery Maisons (Cartier VCA),8293,,,Richemont FY2022 Annual Report
2023,Richemont,Jewellery Maisons (Cartier VCA),10036,,,Richemont FY2023 Annual Report
2024,Richemont,Jewellery Maisons (Cartier VCA),10704,,33.1,Richemont FY2024 Annual Report
2023,Richemont,Specialist Watchmakers,6983,,,Richemont FY2023 Annual Report
2024,Richemont,Specialist Watchmakers,7001,,,Richemont FY2024 Annual Report
